,Word,Raw Slope,Old Percentage,Percentage Slope,Magnitude of Derivative
0,bilbo,1.0704225352112675,1.2032534927613728e-07,3.944013798039016e-09,-9
1,baggins,0.014084507042253521,6.016267463806864e-08,-7.027786139211879e-10,negative -10
2,bag,1215.4507042253522,0.00034467196300149523,1.7981629210240543e-06,-6
3,be,2675.9718309859154,0.0009742141904142456,1.1842409570608456e-06,-6
4,celebrating,509.59154929577466,0.00013548634328493058,8.701208768161031e-07,-7
5,birthday,811.4366197183099,0.00025539055383860137,8.746852830695874e-07,-7
6,been,2651.478873239437,0.0009704239419120472,1.1073554551517083e-06,-6
7,disappearance,613.2816901408451,0.0002755450498423544,-4.0203232363178876e-07,negative -7
8,brought,2426.8169014084506,0.0008796384658832017,1.1238145355077095e-06,-6
9,back,2622.6901408450703,0.0008907083980166063,1.9865595298458096e-06,-6
10,become,2560.056338028169,0.000914171841125453,1.3628018832248153e-06,-6
11,believed,2078.4647887323945,0.0007167781056379498,1.4339436566888043e-06,-6
12,but,2658.8591549295775,0.0009715670327301705,1.1305098691638263e-06,-6
13,began,2315.169014084507,0.0007766399669028282,1.8776798478670954e-06,-6
14,call,2456.760563380282,0.000801126175480522,2.288972764374847e-06,-6
15,come,2589.2957746478874,0.0008906482353419682,1.8159314526308267e-06,-6
16,course,2501.2535211267605,0.000909719803202236,1.118340057720662e-06,-6
17,devoted,1636.4225352112676,0.0006594430767078704,-9.62832628878527e-08,negative -8
18,close,2529.8732394366198,0.0008855344079977324,1.5768145723682681e-06,-6
19,cousins,567.3380281690141,0.00015949125046551996,8.572630526559682e-07,-7
20,bilbos,0.15492957746478872,6.016267463806864e-08,2.0136389576297428e-11,-11
21,dashed,756.2816901408451,0.0002049140698172618,1.2418755935732874e-06,-6
22,better,2575.43661971831,0.0009067116694703325,1.5378528957763352e-06,-6
23,day,2590.0140845070423,0.0008973262922267939,1.7335855364645864e-06,-6
24,can,2669.394366197183,0.0009671149948069534,1.2419390998814864e-06,-6
25,celebrate,862.0845070422536,0.0002213986426680926,1.5725601328903623e-06,-6
26,comfortably,804.1971830985915,0.00023914663168632288,1.046796382742969e-06,-6
